sum_of_sec_track_lengths_without_FT_correction [m],sum_of_sec_track_lengths_with_FT_correction [m],sum_of_sec_kin_energies [GeV],muon_kinetic_energy [GeV],muon_track_length [m],num_photons_lowE_sec,num_photons_muon,total_num_photons,event_id,process,energy,directory,source_file,energy_value
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV,secondaries_100000GeV_muIoni_20250407_103236.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_10,secondaries_100000GeV_muIoni_20250407_103315.csv,100000
303.0371220293248,274.9904210298963,75.96251758830692,100000.0,1000.0000000099336,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_10m_prop,secondaries_100000GeV_muIoni_20250407_103446.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_2,secondaries_100000GeV_muIoni_20250407_103526.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_3,secondaries_100000GeV_muIoni_20250407_103607.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_4,secondaries_100000GeV_muIoni_20250407_103646.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_5,secondaries_100000GeV_muIoni_20250407_103726.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_6,secondaries_100000GeV_muIoni_20250407_103805.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_7,secondaries_100000GeV_muIoni_20250407_103844.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_8,secondaries_100000GeV_muIoni_20250407_103923.csv,100000
154.97025197684948,140.90684496767722,38.45425721936935,100000.0,500.00000000202107,0.0,0.0,0.0,icesim_E100000000_100000.0_GeV.root_0,muIoni,100000GeV,out_100000GeV_9,secondaries_100000GeV_muIoni_20250407_104002.csv,100000
146.2575910859199,132.4536086942364,33.972803368957955,10000.0,500.000001042944,0.0,0.0,0.0,icesim_E10000000_10000.0_GeV.root_0,muIoni,10000GeV,out_10000GeV,secondaries_10000GeV_muIoni_20250407_104025.csv,10000
146.2575910859199,132.4536086942364,33.972803368957955,10000.0,500.000001042944,0.0,0.0,0.0,icesim_E10000000_10000.0_GeV.root_0,muIoni,10000GeV,out_10000GeV_10,secondaries_10000GeV_muIoni_20250407_104051.csv,10000
